INFO [2024-09-04 10:06:03] [MAIN] - Creating v2_test__2024_09_04_10_06_03 study...

INFO [2024-09-04 10:06:03] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-04 10:06:03] [MAIN] - Adding nodes...

INFO [2024-09-04 10:06:04] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 10:06:04] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 10:06:04] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 10:06:04] [MAIN] - Done adding nodes! (run time : 1.42s).

INFO [2024-09-04 10:06:04] [MAIN] - Adding districts...

INFO [2024-09-04 10:06:05] [DISTRICTS] - Creating global district...
INFO [2024-09-04 10:06:05] [DISTRICTS] - Done creating global district!
INFO [2024-09-04 10:06:05] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-04 10:06:05] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-04 10:06:05] [MAIN] - Done adding districts! (run time : 0.55s).

INFO [2024-09-04 10:06:05] [MAIN] - Adding load data...

INFO [2024-09-04 10:06:06] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-04 10:06:06] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-04 10:06:06] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-04 10:06:06] [MAIN] - Done adding load data! (run time : 0.82s).

INFO [2024-09-04 10:06:06] [MAIN] - Fetching wind data...

INFO [2024-09-04 10:06:06] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-04 10:06:06] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-04 10:06:06] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-04 10:06:06] [MAIN] - Done adding wind data! (run time : 0.17s).

INFO [2024-09-04 10:06:06] [MAIN] - Fetching solar data...

INFO [2024-09-04 10:06:06] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-04 10:06:06] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-04 10:06:06] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-04 10:06:06] [MAIN] - Done adding solar data! (run time : 0.23s).

INFO [2024-09-04 10:06:06] [MAIN] - Fetching battery data...

INFO [2024-09-04 10:06:06] [MAIN] - Aggregating identical batteries...
INFO [2024-09-04 10:06:06] [MAIN] - Running 10-clustering algorithm on batteries...
INFO [2024-09-04 10:06:10] [MAIN] - Done running 10-clustering algorithm on batteries!

INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_CHE_SwissDualCircui104 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_CHE_LausannePolytec102 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_CHE_50kW60kWhEnergy99_Passivhaus50kW1103 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_CHE_CKWESpeicherWer100 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_CHE_EPFLLeclancheDi101 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_CHE_TheZurichDietik105 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_PHS_VeytauxFMHLPump122 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_PHS_EmossonPumpedHy106 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_PHS_Handeck3PumpedH112_TierfehdNestilP121 battery to EU-CHE node...
INFO [2024-09-04 10:06:10] [STORAGE] - Adding CHE_PHS_NantdeDrancePum118_LagoBiancoPumpe114_Linthal2015Lin battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding CHE_PHS_EtzelwerkPumped107 battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding CHE_PHS_Grimsel3PumpedH111 battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding CHE_PHS_Grimsel2PumpedH110 battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding CHE_PHS_FerreraPumpedHy108_LinthLimmernPum116 battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding CHE_PHS_OvaSpinPumpedHy119_GougraPumpedHyd109 battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding CHE_PHS_RobieiPumpedHyd120_HongrinLemanPum113_MapraggPumpedH battery to EU-CHE node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding DEU_CHE_IHEMIntelligent251_Web2EnergySmart264 battery to EU-DEU node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding DEU_CHE_SmartRegionPell262 battery to EU-DEU node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding DEU_CHE_IntelligentesNe252_BatteryEnergySt232_Netlab2Sonderb battery to EU-DEU node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding DEU_CHE_QinousDemonstra255 battery to EU-DEU node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding DEU_CHE_HIUPVBatterySys250 battery to EU-DEU node...
INFO [2024-09-04 10:06:11] [STORAGE] - Adding DEU_CHE_CatervaSWARM237_BoschBraderupES236_DREWAGReick2MWP24 battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_FeldheimRegiona248_WEMAGSchwerinBa265 battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_YounicosandVatt266 battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_SwagBoschCommun263_CustomerProject239_FastChargingeB battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_EEBattEnergyNei244_250kW1MWhElCheW231_BatteryEnergyS battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_SmartRegionPell261_DMGGildemeister241 battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_BoschBraderupES235_1MWLESSYVolklin230 battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_Daimler2ndLifeS240 battery to EU-DEU node...
INFO [2024-09-04 10:06:12] [STORAGE] - Adding DEU_CHE_RedoxWindTheFra256 battery to EU-DEU node...
